Genus	SRR10803248	SRR10803249	SRR10803250	SRR10803251	SRR10803252	SRR10803253	SRR10803254	SRR10803255	SRR10803256	SRR10803257	SRR10803258	SRR10803259	SRR10803260	SRR10803261	SRR10803262	SRR10803263	SRR10803264	SRR10803265	SRR10803266	SRR10803267	SRR10803268	SRR10803269	SRR10803270	SRR10803271	SRR10803272	SRR10803273	SRR10803274	SRR10803275	SRR10803276	SRR10803277	SRR10803278	SRR10803279	SRR10803280	SRR10803281	SRR10803282	SRR10803283	SRR10803284	SRR10803285	SRR10803286	SRR10803287	SRR10803288	SRR10803289	SRR10803290	SRR10803292	SRR10803293	SRR10803294	SRR10803295	SRR10803296	SRR10803297	SRR10803299	SRR10803300	SRR10803301	SRR10803302	SRR10803303	SRR10803304	SRR10803305	SRR10803306	SRR10803307	SRR10803308	SRR10803309	SRR10803310	SRR10803311	SRR10803314	SRR10803315	SRR10803316	SRR10803317	SRR10803318	SRR10803319	SRR10803320	SRR10803321	SRR10803322	SRR10803323	SRR10803324	SRR10803325	SRR10803326	SRR10803327	SRR10803328	SRR10803329	SRR10803330	SRR10803331	SRR10803332	SRR10803333	SRR10803334	SRR10803335	SRR10803336	SRR10803337	SRR10803338	SRR10803339	SRR10803340	SRR10803341	SRR10803342	SRR10803343	SRR10803344	SRR10803345	SRR10803346	SRR10803347	SRR10803348	SRR10803349	SRR10803350	SRR10803351	SRR10803352	SRR10803353	SRR10803354	SRR10803355	SRR10803356	SRR10803357	SRR10803358	SRR10803359	SRR10803360	SRR10803361	SRR10803362	SRR10803363	SRR10803364	SRR10803365	SRR10803366	SRR10803367	SRR10803368	SRR10803369	Total	Percent
Acidovorax	0	11	0	1114	710	162	914	2707	2009	3922	2740	968	0	0	0	0	280	0	0	0	0	109	9	8	0	0	79	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	739	492	0	0	89	0	0	0	162	500	0	285	168	53	4	6	181	4	2102	0	0	25	249	3133	51	731	1528	793	332	1615	15	0	2494	85	289	320	0	0	0	0	197	490	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	310	17	24	26	0	0	28	18	0	0	0	0	33384	0.5
Enterobacteriaceae (family)	0	0	177	47	0	1425	7	6	6	22	15	2894	0	64	0	0	211	191	27	2069	381	18	780	0	0	0	33	50	0	6	0	12	36	0	0	0	1374	0	0	104	38	11	0	0	25	1097	66	262	30	0	190	0	0	0	53	156	0	0	0	0	0	0	0	0	56	509	0	0	21	59	57	13	38	72	0	12	126	169	83	354	11	0	0	0	0	0	1133	180	5	48	22	8	1736	251	0	0	22	11	2016	66	212	19	70	0	62	171	9841	451	417	390	0	533	675	81	312	0	33	3	32231	0.5
Parvimonas	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	595	0	0	0	0	3	0	0	0	0	23884	0	0	0	0	0	0	0	0	1107	0	0	0	0	0	0	72	0	644	0	0	0	0	0	0	0	0	0	0	2879	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	2	0	0	0	0	0	0	52	0	0	0	0	0	0	38	2082	0	0	62	0	0	0	0	0	0	158	0	31722	0.5
Delftia	12	45	98	655	633	207	606	2071	1644	4770	1883	619	0	72	34	5	337	0	32	0	0	149	12	6	0	0	36	0	0	46	17	30	0	5	0	0	18	0	0	0	0	0	0	0	322	207	0	0	33	0	0	0	154	411	27	287	314	150	0	15	300	7	2266	26	27	43	135	3209	124	1234	1150	478	591	1386	0	0	1426	12	1201	280	0	0	18	0	347	355	0	7	0	0	5	7	2	0	0	0	0	0	49	38	0	0	8	0	100	0	591	50	25	50	13	4	12	8	2	0	5	0	31553	0.5
Aeromonas	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	7	71	48	24481	0	155	14	122	16	0	1124	0	24	22	27	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	17	0	0	0	21	0	0	33	0	0	0	3	0	19	0	0	0	3	0	0	0	0	0	0	0	17	301	0	2	0	0	957	0	7	0	0	0	0	0	0	7	0	15	0	0	0	198	0	16	0	74	54	4	29	0	0	0	0	0	0	0	0	27986	0.4
Helcococcus	0	0	0	0	0	2542	0	0	548	0	0	0	0	27	0	0	0	0	0	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	129	119	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	12025	0	0	0	2824	0	1538	161	0	0	229	0	0	0	0	0	0	0	0	0	366	0	0	0	0	0	0	0	35	0	2	0	0	0	0	30	0	0	267	0	0	3077	0	0	0	0	0	2834	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	27314	0.4
Phyllobacterium	0	0	134	0	0	0	0	0	0	0	0	0	0	0	13	0	23	3	28	0	0	13	0	3	0	0	11	0	0	42	0	7	14	4333	37	46	116	16	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	162	0	5	24	0	0	31	0	0	0	0	0	0	0	0	11	31	0	0	0	0	0	0	0	0	0	0	0	16	0	76	5	3	194	66	84	39	52	0	0	15	0	19	0	27	20	0	0	46	51	145	3	632	384	8	41	8633	66	558	1549	129	7443	0	0	25413	0.4
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0	25	12	434	520	152	2888	1460	1012	4214	1621	520	0	53	9	0	437	0	33	0	0	50	2	13	0	25	187	0	35	7	7	7	4	29	0	41	17	0	0	0	0	0	5	0	292	144	0	0	97	15	0	5	67	230	40	188	77	36	0	5	99	0	1633	5	33	22	8	2039	53	100	49	14	0	42	0	2	1595	66	1206	112	0	11	77	0	86	91	0	49	49	8	7	33	0	5	0	0	29	3	189	40	0	0	33	9	54	0	54	190	168	0	19	0	72	18	41	55	0	0	23483	0.4
Porphyromonas	68	0	66	0	0	797	0	0	1587	0	0	2	0	17	6	35	0	0	6	0	0	0	0	0	0	0	14	63	0	0	0	0	0	0	0	0	44	0	0	0	6394	0	0	0	0	5	485	0	0	0	696	0	0	0	927	0	0	0	2	0	0	0	126	0	65	0	149	6	0	0	0	0	14	17	0	0	0	0	0	0	0	0	0	1354	0	0	0	19	0	0	0	3	3131	1067	0	0	0	0	14	0	4644	0	0	116	0	0	52	0	0	0	0	0	0	0	0	0	0	0	21991	0.3
Sphingomonas	969	0	151	0	5	36	0	15	7	0	17	12	0	87	22	725	262	0	102	0	0	188	9	93	13	66	842	0	2158	108	7	12	0	0	0	13	164	3	0	49	94	0	84	0	0	0	3	0	210	0	0	3	11	34	96	9	0	254	0	711	183	106	24	6	70	0	1395	73	0	128	110	43	63	70	38	6	5	0	0	0	0	8	65	0	128	53	0	255	80	34	18	74	26	6	2725	0	92	5653	234	204	0	0	217	598	181	18	738	257	47	52	0	3	65	44	21	7	20	16	21903	0.3
Finegoldia	9	0	10	0	0	2177	36	3	858	0	0	180	0	16	2	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	27	622	2	2	0	0	0	0	0	0	0	641	0	0	0	139	0	0	0	0	614	0	340	0	0	0	18	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1145	0	0	5893	6	0	4	0	3	3263	86	2	0	0	577	0	0	1335	0	198	4	37	0	119	26	0	15	0	0	16	0	50	0	0	0	18787	0.3
Serratia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	2	0	16	44	1633	0	0	0	0	0	0	0	0	0	101	53	0	0	0	0	0	0	10	0	0	3	0	0	0	0	0	0	12	0	0	0	0	0	16	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	11	0	0	0	0	0	48	104	14574	602	163	759	0	0	168	127	0	0	0	0	18530	0.3
Providencia	0	0	0	252	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	6617	0	878	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	3276	0	0	0	0	0	0	0	0	0	0	359	645	248	1302	0	0	0	0	22	0	0	0	0	0	29	0	2	0	0	0	0	0	0	0	0	0	0	25	0	0	0	31	0	0	0	4120	0	0	0	0	0	15	18065	0.3
Nevskia	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	4	0	0	6	0	0	3	0	0	0	2902	27	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	5453	13	267	1873	73	4613	3	0	15315	0.2
Enterobacter	8	54	66	0	4	716	74	44	40	60	91	0	133	19	0	0	1192	0	0	3109	1339	41	45	67	0	40	244	165	0	0	11	0	0	42	0	0	0	0	0	339	111	0	0	0	0	0	0	75	0	17	658	0	0	0	0	10	0	19	0	22	12	0	35	0	48	0	0	267	0	80	163	101	55	217	18	0	0	0	8	0	19	16	40	0	16	27	762	41	0	13	186	0	54	487	0	0	91	0	40	0	1836	50	775	0	0	0	28	0	45	58	146	15	0	194	31	40	105	0	14974	0.2
Neisseriaceae (family)	10	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10093	0	2142	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	997	0	987	0	0	0	13	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	253	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14552	0.2
Actinomycetaceae (family)	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	814	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	23	458	0	0	0	8696	0	2931	22	12	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	73	0	0	0	10	0	159	45	0	0	0	6	0	0	12	0	0	0	0	0	38	3	0	3	0	0	0	0	0	0	0	0	13380	0.2
Actinomyces	0	0	0	0	0	1241	5	0	12	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	6919	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	10	194	5	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	296	0	0	0	0	0	10	0	0	0	3	0	0	2202	518	3	0	0	0	0	0	0	0	0	0	0	11971	0.2
Microbacterium	54	0	595	10	38	0	19	52	21	69	29	2	0	275	137	11	42	0	294	0	7	238	2	44	0	156	187	0	83	2	16	105	0	0	0	0	4	2	0	0	0	0	0	0	5	0	0	0	253	38	0	26	41	76	335	63	44	48	0	5	70	2	33	46	205	0	345	104	0	268	659	108	53	493	0	0	104	0	0	0	0	26	82	10	77	59	0	691	35	18	28	67	0	0	13	0	40	36	1078	76	0	0	297	95	877	0	118	138	19	3	0	0	5	3	0	0	3	14	9826	0.1
Granulicatella	5	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	0	0	0	0	0	915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	3	24	7239	9	0	0	0	0	0	0	0	0	0	0	0	8788	0.1
Dialister	0	0	0	0	187	0	0	0	104	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	538	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	961	0	0	0	0	0	1938	0	0	0	0	0	0	0	0	0	4	0	0	3049	216	0	0	5	0	0	0	0	0	0	0	0	7400	0.1
Bradyrhizobium	0	0	23	0	0	0	9	8	2	2	0	0	0	8	0	8	4	0	11	0	0	9	9	36	0	0	171	0	0	79	3	0	0	0	0	3	62	122	0	14	47	0	6	0	0	0	0	0	95	0	0	0	0	0	8	0	0	144	0	54	92	42	0	0	4	0	0	0	0	6	3	0	0	7	0	2	0	0	0	0	0	0	9	0	123	0	2	13	82	56	26	7	0	0	110	0	59	217	29	22	0	0	12	2	41	7	344	4213	273	26	0	0	10	0	6	0	5	0	6787	0.1
Azospirillum	57	0	4	0	15	4	205	281	20	443	110	33	2	0	78	177	0	0	36	0	0	0	0	0	0	0	0	0	1674	15	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	801	20	0	33	0	15	13	6	8	2	0	0	10	0	189	0	0	0	6	226	0	13	34	0	7	27	0	0	51	46	0	2	0	2	0	0	4	142	0	0	121	212	165	187	52	15	37	0	141	68	0	0	0	0	160	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6063	0.1
Ezakiella	0	0	0	0	0	0	0	0	34	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	2319	0	0	0	0	0	0	0	2429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5624	0.1
Mitochondria (family)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5548	3	0	0	0	0	0	0	0	0	0	0	5561	0.1
Cutibacterium	0	0	158	0	0	0	0	13	0	25	33	0	0	97	129	17	44	9	107	0	0	10	0	0	0	115	76	0	5	16	38	64	0	0	10	65	21	0	0	7	2	0	7	0	0	33	0	0	331	0	7	0	0	4	326	0	0	10	0	0	12	0	0	21	109	0	32	63	0	231	103	15	24	116	0	0	0	18	25	0	0	0	20	0	11	88	0	232	0	18	7	39	4	0	0	0	50	5	482	25	9	0	24	64	250	0	99	999	11	4	5	0	8	0	0	0	66	43	5111	0.1
Rhizobiaceae (family)	0	0	0	66	15	11	45	256	164	225	281	62	0	0	0	0	64	0	5	0	0	0	6	0	0	0	67	0	0	16	0	0	0	555	0	6	51	0	0	0	0	0	0	0	10	0	0	0	53	0	0	0	3	0	0	0	16	0	0	0	12	0	95	0	0	2	0	141	0	0	0	0	0	2	0	0	195	0	111	8	0	0	3	0	23	16	0	27	0	9	0	0	7	0	0	0	0	0	4	0	0	0	12	9	0	5	383	83	32	13	618	0	41	151	4	786	0	0	4769	0.1
Bifidobacteriaceae (family)	0	0	0	0	0	168	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	4457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4704	0.1
uncultured bacterium	0	0	35	0	0	0	0	0	0	2	0	2	0	12	55	0	48	2	6	0	0	188	48	398	88	0	2020	0	23	30	11	3	0	0	0	0	30	12	0	0	0	0	0	0	0	0	0	0	18	2	0	0	0	0	9	3	0	6	0	0	2	0	0	2	5	0	0	0	0	46	6	0	5	0	158	0	0	0	0	0	0	0	0	0	5	0	0	20	0	8	0	0	0	0	0	0	6	0	46	3	0	0	2	0	42	6	236	829	32	14	0	0	0	0	0	0	2	0	4526	0.1
Prevotella 1	3	0	0	0	34	0	0	0	0	0	0	81	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	703	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	38	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	2490	0	0	0	3	0	12	0	0	13	15	0	0	0	626	0	0	0	0	0	28	0	0	84	3	0	0	0	0	0	0	0	0	0	0	4396	0.1
Lactobacillus	0	0	0	0	0	0	0	0	0	0	0	5	0	278	191	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	2	0	0	0	0	3158	0	13	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	2	6	0	0	0	0	0	0	5	0	0	0	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	4100	0.1
Roseomonas	0	0	0	0	0	0	0	9	4	5	0	4	0	0	9	0	0	0	14	0	0	0	0	0	0	19	2	0	0	7	0	0	0	6	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	5	0	0	0	0	5	3	0	0	0	7	0	11	23	0	10	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	0	0	0	7	2	0	0	0	5	0	26	7	0	0	0	0	0	0	8	3759	0	0	0	0	0	3	0	0	0	0	4013	0.1
uncultured	2	0	31	0	0	3	0	12	2	18	0	0	0	11	12	4	545	24	3	0	0	91	45	189	50	28	1013	0	0	11	3	19	0	0	7	14	25	4	0	0	0	0	0	0	0	6	0	0	209	0	0	0	0	11	22	12	0	3	0	0	12	0	15	0	40	0	29	19	0	20	81	2	5	32	109	0	10	2	3	0	0	2	0	0	0	7	0	20	60	5	0	0	5	7	0	0	60	2	101	2	0	0	13	19	24	3	400	203	14	8	0	0	0	0	0	0	29	20	3812	0.1
Rubrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3677	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3690	0.1
Xanthomonadaceae (family)	0	0	67	0	28	0	142	237	59	247	94	31	0	35	4	13	39	0	0	0	0	13	0	18	2	12	5	0	493	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	8	77	50	84	29	10	0	0	26	0	28	0	104	0	0	45	0	23	27	3	0	93	13	18	0	0	0	0	0	0	21	0	9	565	0	66	3	14	13	5	0	0	4	0	9	2	72	19	0	0	8	35	20	0	17	22	0	0	11	0	31	27	11	2	106	202	3532	0.1
Arcanobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	365	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	279	0	0	0	1531	0	991	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	3425	0.1
Caulobacteraceae (family)	0	0	41	0	0	0	0	0	0	2	0	0	0	6	7	0	5	0	30	0	0	148	45	218	8	5	1474	0	0	9	0	2	0	0	7	4	71	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	7	26	10	3	5	0	0	12	0	0	0	20	0	0	16	0	28	24	0	26	17	30	0	0	0	0	0	0	0	0	0	19	4	0	10	72	12	4	14	0	8	0	0	60	0	56	0	0	0	13	0	51	2	347	192	29	15	0	0	0	0	0	0	3	0	3329	0.0
Micrococcus	0	0	34	0	0	0	0	0	0	0	0	0	0	5	82	2	0	126	1586	3	2	74	0	0	0	2	17	0	0	10	13	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	2	0	0	0	0	0	0	52	0	0	0	16	0	26	40	38	31	0	0	0	0	0	0	0	0	0	0	0	3	0	0	9	0	0	4	10	0	0	4	0	0	4	60	24	0	0	15	0	105	0	135	6	0	8	2	0	0	0	0	0	0	2	2658	0.0
Herbaspirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	64	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	303	725	0	95	34	394	548	172	130	0	0	2568	0.0
Bosea	0	0	2	0	3	0	34	71	9	91	33	6	0	0	0	8	207	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	82	0	0	0	0	0	0	0	0	22	0	0	19	0	0	0	0	2	3	0	0	0	0	0	0	0	16	0	0	0	4	34	0	0	0	0	0	0	0	0	0	10	2	0	0	0	0	0	0	0	0	0	11	27	3	16	4	0	3	0	8	0	0	0	0	0	0	0	0	4	674	6	2	17	416	0	54	125	0	294	0	4	2544	0.0
Brevundimonas	9	0	6	0	3	0	0	0	0	10	0	0	0	4	25	31	11	27	5	0	0	81	0	0	0	0	9	0	5	8	0	5	0	0	0	0	257	0	0	0	0	0	0	0	0	38	0	0	125	0	0	0	3	38	9	26	17	40	0	5	96	4	0	0	0	0	0	25	0	12	3	0	21	3	0	0	9	10	3	0	0	10	167	0	294	92	0	9	90	53	9	141	17	13	0	0	44	25	36	400	0	0	15	0	5	0	85	34	11	4	0	0	0	0	0	0	0	0	2537	0.0
Atopobium	0	0	0	0	0	0	0	0	8	0	0	300	0	33	632	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	681	0	0	0	0	0	0	0	0	0	0	0	2531	0.0
Sphingomonadaceae (family)	0	0	0	0	2	0	2	0	2	0	0	0	0	3	11	0	142	54	0	0	0	377	0	0	0	0	0	0	52	9	0	20	0	0	0	0	0	0	0	6	28	0	13	0	0	0	0	0	0	0	0	0	0	0	0	4	16	25	0	2	0	0	5	2	0	0	0	0	0	29	0	0	150	0	0	0	0	0	0	0	0	0	0	0	29	9	0	5	0	9	0	0	0	0	448	0	14	1012	6	26	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	2523	0.0
Corynebacteriaceae (family)	24	0	23	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	7	0	0	0	22	49	0	0	0	35	7	0	0	0	348	0	0	0	0	0	343	0	0	6	2	0	0	0	0	289	0	0	0	0	0	0	0	59	0	0	0	0	28	16	0	0	0	9	0	3	0	0	0	0	0	0	0	2518	0.0
Clostridium sensu stricto 7	0	0	0	0	0	0	0	0	2125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2125	0.0
Enhydrobacter	2	0	13	0	0	0	0	3	0	24	0	0	0	11	214	11	118	9	3	38	0	2	0	0	0	92	52	0	15	8	2	3	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	47	0	0	0	0	0	13	2	0	0	0	0	0	0	3	2	81	0	0	18	0	25	45	391	12	8	0	5	2	0	2	0	0	0	31	0	0	21	0	16	0	3	0	19	121	0	0	0	32	3	250	17	0	0	0	2	26	0	76	13	16	17	3	0	0	0	0	0	17	22	1994	0.0
Mycobacterium	0	0	48	0	0	0	0	0	0	0	0	0	0	9	14	0	0	0	4	0	0	4	0	18	0	0	53	0	0	34	3	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	36	0	0	413	0	0	332	0	0	0	0	0	0	7	0	0	0	0	0	14	14	0	0	0	0	0	0	0	10	0	216	0	0	33	56	123	55	134	22	2	9	0	114	28	0	0	0	0	15	0	0	0	31	52	0	0	0	0	0	0	0	0	3	0	1957	0.0
Chryseobacterium	0	0	0	0	0	0	0	9	0	21	2	4	0	0	25	0	0	0	32	0	0	0	0	0	0	0	5	0	1446	0	0	20	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	19	13	0	0	12	0	8	0	0	0	0	0	9	0	0	2	8	0	0	0	0	2	2	0	0	3	0	0	0	0	0	0	0	8	6	2	0	7	0	0	0	0	0	4	0	0	0	0	6	0	0	5	0	0	47	0	48	0	105	0	2	8	0	0	0	0	0	0	0	0	1899	0.0
Pantoea	0	0	0	24	0	67	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	618	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	61	26	218	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	0	0	0	0	0	0	1743	0.0
Sphingobium	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	19	0	0	9	0	0	0	0	0	0	5	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	2	0	0	22	0	0	12	0	0	0	0	0	0	2	0	19	3	0	36	0	0	0	0	0	0	0	0	55	736	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	21	711	0	0	19	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	1715	0.0
Peptostreptococcus	0	0	0	0	24	0	0	0	334	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	24	12	5	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	260	0	0	0	0	16	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	59	0	0	0	168	0	0	50	0	0	0	0	0	0	17	0	1651	0.0
