Genus	SRR10803248	SRR10803249	SRR10803250	SRR10803251	SRR10803252	SRR10803253	SRR10803254	SRR10803255	SRR10803256	SRR10803257	SRR10803258	SRR10803259	SRR10803260	SRR10803261	SRR10803262	SRR10803263	SRR10803264	SRR10803265	SRR10803266	SRR10803267	SRR10803268	SRR10803269	SRR10803270	SRR10803271	SRR10803272	SRR10803273	SRR10803274	SRR10803275	SRR10803276	SRR10803277	SRR10803278	SRR10803279	SRR10803280	SRR10803281	SRR10803282	SRR10803283	SRR10803284	SRR10803285	SRR10803286	SRR10803287	SRR10803288	SRR10803289	SRR10803290	SRR10803292	SRR10803293	SRR10803294	SRR10803295	SRR10803296	SRR10803297	SRR10803299	SRR10803300	SRR10803301	SRR10803302	SRR10803303	SRR10803304	SRR10803305	SRR10803306	SRR10803307	SRR10803308	SRR10803309	SRR10803310	SRR10803311	SRR10803314	SRR10803315	SRR10803316	SRR10803317	SRR10803318	SRR10803319	SRR10803320	SRR10803321	SRR10803322	SRR10803323	SRR10803324	SRR10803325	SRR10803326	SRR10803327	SRR10803328	SRR10803329	SRR10803330	SRR10803331	SRR10803332	SRR10803333	SRR10803334	SRR10803335	SRR10803336	SRR10803337	SRR10803338	SRR10803339	SRR10803340	SRR10803341	SRR10803342	SRR10803343	SRR10803344	SRR10803345	SRR10803346	SRR10803347	SRR10803348	SRR10803349	SRR10803350	SRR10803351	SRR10803352	SRR10803353	SRR10803354	SRR10803355	SRR10803356	SRR10803357	SRR10803358	SRR10803359	SRR10803360	SRR10803361	SRR10803362	SRR10803363	SRR10803364	SRR10803365	SRR10803366	SRR10803367	SRR10803368	SRR10803369	Total	Percent
Bacteroides	58	0	44	0	225	4484	0	0	869	0	0	23	0	57	15	14	0	0	0	0	0	0	175	3	0	0	12	5661	0	0	4	0	1684	0	0	0	104	177	51	6225	1997	2772	0	0	0	0	642	0	41	0	39465	0	0	0	36	0	0	0	1424	12	0	0	122	3	126	14	90	0	0	0	0	3	15	17	0	38	4	0	0	0	0	0	0	6919	0	27	11384	56	5	64	26	64	45276	6	6	0	836	1903	10988	9	1426	0	157	128	0	2	174	215	20	20	0	0	0	0	0	0	0	0	146417	2.2
Escherichia-Shigella	41	0	2840	77	105	13	170	224	143	322	203	1256	38	558	100	34	2328	1714	113	1063	35712	163	584	64	3	78	285	54	27	68	25	435	6	909	3	21	23	148	0	164	286	97	22	0	60	597	380	11	608	10	1493	13	224	159	551	77	48	284	0	1289	227	925	253	32	480	19762	51	1249	160	510	902	317	1965	376	0	61	4151	599	129	56	0	4	867	13	203	895	794	1620	555	651	413	704	12662	40	164	0	326	138	739	430	15	0	354	20972	674	3	261	410	3560	0	1662	5	152	417	779	944	854	559	141367	2.1
Neisseria	79	0	6	0	0	0	0	0	10	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60774	0	32331	0	0	0	0	0	0	0	0	0	0	55	0	0	0	9	0	0	0	0	10524	0	8673	0	0	4	0	37	36	0	5	11	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	43	0	3	0	0	0	0	0	44	0	0	0	0	52	6	0	0	0	0	0	0	0	0	0	0	0	3	2	112920	1.7
Prevotella 7	9	0	0	0	332	0	1616	0	0	0	0	897	0	1655	787	609	0	9	0	0	0	0	988	0	0	0	0	0	0	0	0	0	0	0	0	0	875	0	72	3191	0	0	0	0	0	0	11515	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	64	939	2417	50	5	0	5	5	0	3	6	0	647	0	0	0	0	0	3	0	0	0	0	20598	0	0	70	0	13	2085	0	0	0	0	313	23	11	2764	0	4176	0	0	52816	1601	6	0	0	0	0	0	0	0	2	0	3	111324	1.7
Burkholderiaceae (family)	3	56	177	1427	1494	894	5560	10528	6146	9949	10193	2829	0	173	58	2	739	0	68	2	0	413	27	126	10	541	284	0	2569	0	12	35	34	120	14	76	78	10	0	9	0	0	0	0	718	997	0	0	241	12	0	0	456	1275	190	982	443	231	0	6	614	0	5494	0	492	79	530	7254	133	2183	3257	2053	792	5390	31	42	4224	174	4193	487	0	0	134	9	509	1825	2	376	19	0	11	61	4	0	0	0	45	0	808	251	24	0	98	89	191	18	1526	403	695	75	55	61	463	495	161	134	278	573	107022	1.6
Ralstonia	27326	0	117	0	0	611	0	0	0	0	0	0	0	83	14	12345	13	0	0	0	0	0	0	0	0	50	0	0	0	0	0	8	0	0	0	9	5	0	0	2	25	0	0	0	0	0	0	0	6	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	65	0	34614	0	0	144	60	0	4	80	0	0	0	0	0	0	0	0	0	0	0	6	0	138	0	0	0	7	0	0	0	0	6	0	61	0	0	0	0	12624	199	0	257	105	0	13	0	0	0	0	0	0	0	0	89156	1.3
Bacillus	2	7	2689	341	335	48	1594	2336	1533	2781	2337	648	0	1487	107	10	2285	0	130	0	0	958	17	91	2	747	637	0	78	1001	12	381	14	579	20	7	9	0	0	0	2	0	0	0	216	321	0	0	15237	0	0	0	190	555	2932	271	135	551	0	317	920	86	1335	16	1019	11	382	2700	25	4798	3569	1073	2181	5085	6	77	1238	46	1242	82	0	4	32	0	823	633	0	2665	37	37	40	198	4	0	0	0	259	14	4290	336	3	0	130	952	4363	0	131	64	5	140	1214	0	129	332	52	883	350	583	88544	1.3
Unknown	19	0	144	0	0	22690	202	168	1976	269	72	21	2	17655	93	21	826	17	195	2	20548	78	943	34	17	215	274	0	92	56	15	34	2	0	730	16	519	446	4	4	12	13	1422	405	0	24	4	0	135	506	2	0	19	10	176	38	4	74	0	585	54	355	63	21	68	1583	36	124	0	219	221	975	22	123	19	410	25	440	5	0	30	3326	28	2222	46	95	80	189	27	23	18	865	13	76	1730	5	39	102	188	47	38	4	171	24	293	63	823	631	350	54	0	0	14	0	263	4	14	0	88486	1.3
Enterococcus	0	0	0	0	0	293	0	0	0	0	0	13869	37	33	0	0	3	0	0	26	137	0	31	0	0	0	0	0	0	0	0	0	0	0	53	0	137	71	0	0	274	9	950	14	0	0	2	187	3	0	550	69	0	0	29	0	0	9	164	9	0	6	44	0	57402	533	12	0	0	0	0	6	0	0	0	38	0	0	0	0	2404	0	0	4	0	25	487	496	0	0	0	0	3248	5	0	0	0	0	146	0	272	33	0	5658	0	2	373	26	9	3	0	0	77	0	0	0	8	0	88276	1.3
Veillonella	0	0	10	0	0	0	0	0	255	0	0	943	0	32	2	0	0	113	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	207	0	25	0	0	0	0	613	0	24	0	20004	0	0	0	169	0	0	0	0	0	0	0	131	3	3	121	0	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	5	10	0	0	6	0	0	0	9	0	33	24	0	0	0	0	0	60939	327	2	0	5	0	0	0	0	0	0	2	4	84055	1.3
