	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299
count	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	10000.0	9951.0	9926.0	9895.0	9870.0	9851.0	9830.0	9792.0	9757.0	9730.0	9704.0	9680.0	9658.0	9616.0	9588.0	9566.0	9540.0	9516.0	9502.0	9471.0	9434.0	9393.0	9373.0	9356.0	9340.0	9320.0	9295.0	9258.0	9237.0	9203.0	9173.0	9163.0	9133.0	9119.0	9106.0	9081.0	9059.0	9040.0	9021.0	8988.0	8957.0	8939.0	8920.0	8890.0	8848.0	8812.0	8776.0	8746.0	8682.0	8649.0	8613.0	8599.0	8568.0	8521.0	8487.0	8456.0	8411.0	8381.0	8357.0	8316.0	8178.0	8110.0	8054.0	8005.0	7948.0	7845.0	7819.0	7801.0	7765.0	7729.0	7701.0	7668.0	7631.0	7597.0	7568.0	7536.0	7500.0	7470.0	7426.0	7389.0	7353.0	7334.0	7314.0	7292.0	7263.0	7227.0	7208.0	7178.0	7151.0	7117.0	7093.0	7053.0	7002.0	6972.0	6952.0	6938.0	6923.0	6882.0	6851.0	6817.0	6770.0	6731.0	6695.0	6630.0	6583.0	6512.0	6464.0	6394.0	6344.0	6294.0	6195.0	5701.0	5601.0	5529.0	5474.0	5382.0	5222.0	4433.0	4006.0	3952.0	3933.0	3907.0	3866.0	3848.0	3835.0	3814.0	3800.0	3791.0	3771.0	3753.0	3745.0	3735.0	3723.0	3718.0	3709.0	3697.0	3679.0	3667.0	3653.0	3613.0	3580.0	3558.0	3531.0	3465.0	3402.0	3299.0	3265.0	3247.0	3226.0	3209.0	3182.0	3075.0	2979.0	2353.0	2288.0	2264.0	2250.0	2238.0	2214.0	2130.0	2082.0	2006.0	1768.0	1717.0	1707.0	1697.0	1692.0	1676.0	1669.0	1658.0	1651.0	1645.0	1640.0	1634.0	1622.0	1613.0	1609.0	1599.0	1595.0	1588.0	1566.0	1557.0	1554.0	1547.0	1508.0	1493.0	1452.0	1364.0	1301.0	1200.0	645.0	521.0	484.0	468.0	454.0	424.0	391.0	286.0	28.0	8.0	3.0
2%	22.0	22.0	25.0	26.0	22.0	26.0	26.0	25.980000000000018	26.0	22.0	26.0	21.0	26.0	26.0	26.0	23.0	26.0	26.0	26.0	26.0	26.0	22.0	26.0	26.0	22.0	26.0	21.0	21.0	22.0	26.0	22.0	21.0	22.0	19.0	21.0	25.0	25.0	25.0	22.0	26.0	16.0	14.0	22.0	21.0	14.0	25.0	22.0	19.0	25.0	21.0	21.0	24.0	25.0	19.0	25.0	24.0	16.0	16.0	16.0	16.980000000000018	16.0	25.0	19.0	23.0	25.0	21.980000000000018	24.0	21.0	17.0	25.0	23.980000000000018	20.0	23.0	24.0	23.0	22.0	21.0	24.0	22.0	23.0	21.0	22.0	20.0	20.0	23.0	20.0	22.0	21.0	22.0	20.0	20.0	16.0	20.0	16.0	22.0	19.0	14.0	20.0	14.0	16.0	14.0	23.0	22.0	21.0	21.0	22.0	19.0	21.0	21.0	22.0	16.0	18.0	16.0	20.0	21.0	23.0	20.0	21.0	18.0	14.0	21.0	22.0	21.0	20.0	23.0	22.0	22.0	23.0	21.0	21.0	20.0	22.0	22.0	20.0	23.0	23.0	22.0	23.0	22.0	21.0	16.0	22.0	21.0	22.0	23.0	20.0	21.0	22.0	23.0	21.0	22.0	19.0	20.0	15.0	14.0	15.0	17.0	17.0	19.0	20.0	16.0	17.0	21.0	21.0	21.0	17.0	21.0	20.0	21.0	17.0	19.0	17.0	21.0	21.0	20.0	20.0	21.0	16.0	16.0	21.0	16.0	22.0	22.0	20.0	19.0	21.0	21.0	22.0	22.0	21.0	15.0	15.0	21.0	22.0	22.0	16.0	19.0	20.0	20.0	16.0	19.0	16.0	21.0	22.0	21.0	20.0	20.0	21.0	20.0	21.0	13.0	12.0	20.0	20.460000000000008	22.0	21.0	21.0	21.0	21.0	21.0	21.0	19.0	21.0	22.0	21.0	20.0	20.0	20.0	19.0	19.0	17.0	17.0	13.0	22.0	14.0	21.0	21.0	22.0	19.239999999999995	22.0	17.0	21.0	21.0	21.0	15.0	20.28	21.0	20.0	20.0	21.0	16.0	19.0	17.08	20.0	21.259999999999998	19.0	23.0	19.0	13.0	20.0	19.0	20.0	21.0	20.0	15.0	22.0	14.0	20.0	20.0	23.0	23.0	22.0	24.0	25.0	21.0	23.0	22.0	21.0	23.0	15.0	23.0	20.0	21.0	23.0	25.0	25.0	25.0	25.0	21.0	25.0	25.0	25.0	25.0	22.0	22.0	25.0	26.0	25.0	14.08	23.12
9%	29.0	29.0	29.0	29.0	29.0	29.0	29.0	28.0	29.0	28.0	29.0	27.0	30.0	30.0	30.0	29.0	29.0	30.0	30.0	30.0	30.0	29.0	28.0	29.0	26.909999999999968	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	27.0	27.0	26.0	26.0	26.0	26.0	24.0	26.0	26.0	22.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	25.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	25.0	26.0	25.0	26.0	26.0	25.0	26.0	25.0	23.0	23.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	25.0	25.0	26.0	26.0	26.0	26.0	26.0	25.0	24.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	25.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	25.0	25.0	25.0	25.0	23.0	25.0	25.0	25.0	26.0	23.0	25.0	25.0	26.0	26.0	25.0	26.0	25.0	26.0	25.0	26.0	25.0	25.0	25.0	25.0	25.0	26.0	23.0	25.0	26.0	26.0	26.0	26.0	25.0	25.0	25.0	26.0	26.0	26.0	25.0	25.0	25.0	25.0	25.0	26.0	25.0	25.0	25.0	25.0	25.0	26.0	25.0	25.0	26.0	26.0	25.0	25.0	25.0	25.0	25.0	25.0	21.0	25.0	25.0	26.0	26.0	25.0	26.0	26.0	25.0	26.0	26.0	26.0	26.0	26.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	22.0	25.0	25.0	25.0	25.0	26.0	25.0	25.0	25.0	25.0	25.0	25.0	24.0	25.0	25.0	23.0	25.0	25.0	24.0	22.0	23.0	23.0	25.0	25.0	25.0	25.0	17.0	25.0	25.0	25.0	25.0	25.0	16.0	25.0	24.0	26.0	25.0	26.0	26.0	25.0	26.0	26.0	26.0	26.0	25.0	26.0	26.0	24.0	26.0	25.0	25.0	26.0	26.0	26.0	26.0	26.0	26.0	26.0	27.0	26.0	26.0	25.769999999999996	26.0	26.0	26.0	26.0	24.86	23.54
25%	33.0	31.0	31.0	32.0	31.0	31.0	31.0	31.0	32.0	31.0	32.0	31.0	32.0	33.0	32.0	32.0	32.0	33.0	32.0	32.0	33.0	31.0	30.0	32.0	30.0	31.0	30.0	29.0	30.0	31.0	31.0	30.0	31.0	30.0	31.0	31.0	31.0	30.0	30.0	30.0	29.0	28.0	30.0	30.0	29.0	30.0	31.0	30.0	30.0	30.0	30.0	30.0	30.0	29.0	30.0	30.0	29.0	29.0	30.0	30.0	30.0	30.0	30.0	30.0	31.0	30.0	30.0	31.0	30.0	31.0	31.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	28.0	29.0	29.0	29.0	29.0	28.0	29.0	28.0	27.0	27.0	30.0	30.0	30.0	30.0	30.0	29.0	29.0	30.0	30.0	29.0	28.0	29.0	29.0	29.0	30.0	29.0	30.0	28.0	29.0	29.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	29.0	29.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	29.0	29.0	30.0	30.0	29.0	29.0	29.0	28.0	28.0	27.75	27.0	27.0	29.0	29.0	29.0	28.0	28.0	29.0	29.0	29.0	29.0	29.0	29.0	29.0	29.0	29.0	29.0	29.0	29.0	29.0	29.0	29.0	26.0	27.0	28.0	29.0	29.0	29.0	29.0	29.0	29.0	29.0	29.0	29.0	29.0	28.0	28.0	29.0	29.0	29.0	28.0	28.0	29.0	28.0	28.0	29.0	29.0	29.0	29.0	29.0	27.0	27.0	28.0	28.0	28.0	28.0	27.0	29.0	29.0	30.0	30.0	29.0	29.0	30.0	29.0	29.5	30.0	30.0	30.0	30.0	29.0	29.0	28.0	26.0	26.0	28.0	27.0	26.0	29.0	29.0	28.0	29.0	29.0	28.0	28.0	26.0	27.0	28.0	27.0	27.0	28.0	28.0	27.0	27.0	27.0	27.0	26.0	26.0	26.0	26.0	26.0	28.0	27.0	25.0	26.0	26.0	26.0	26.0	26.0	26.0	27.0	27.0	29.0	29.0	30.0	30.0	29.0	30.0	30.0	29.0	30.0	29.0	28.0	29.0	27.0	29.0	29.0	29.0	30.0	30.0	30.0	30.0	30.0	29.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	33.0	24.5
50%	34.0	34.0	34.0	34.0	33.0	34.0	34.0	34.0	34.0	34.0	34.0	32.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	32.0	34.0	34.0	32.0	34.0	32.0	32.0	34.0	34.0	34.0	34.0	34.0	32.0	34.0	33.0	34.0	34.0	33.0	34.0	32.0	32.0	34.0	34.0	32.0	34.0	34.0	34.0	33.0	33.0	34.0	33.0	34.0	32.0	34.0	34.0	32.0	33.0	33.0	34.0	34.0	34.0	32.0	34.0	34.0	33.0	34.0	34.0	32.0	34.0	34.0	32.0	34.0	34.0	33.0	33.0	33.0	34.0	34.0	34.0	32.0	34.0	32.0	33.0	33.0	33.0	33.0	32.0	33.0	33.0	33.0	31.0	33.0	32.0	32.0	32.0	32.0	32.0	32.0	31.0	31.0	33.0	33.0	33.0	32.0	34.0	32.0	33.0	32.0	33.0	33.0	31.0	32.0	32.0	32.0	32.0	32.0	33.0	32.0	32.0	32.0	32.0	32.0	32.0	33.0	33.0	33.0	33.0	33.0	32.0	33.0	33.0	33.0	32.0	34.0	33.0	32.0	33.0	33.0	33.0	33.0	32.0	33.0	32.0	33.0	32.0	32.0	32.0	33.0	32.0	33.0	32.0	32.0	31.0	32.0	31.0	32.0	32.0	32.0	33.0	31.0	32.0	32.0	32.0	32.0	32.0	33.0	32.0	32.0	32.0	32.0	33.0	32.0	32.0	31.0	32.0	32.0	32.0	31.0	31.0	32.0	31.0	32.0	32.0	32.0	32.0	32.0	32.0	33.0	32.0	31.0	31.0	32.0	32.0	32.0	31.0	32.0	32.0	31.0	32.0	32.0	32.0	31.0	32.0	32.0	31.0	32.0	32.0	32.0	32.0	32.0	31.0	32.0	32.0	33.0	33.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	33.0	32.0	31.0	32.0	31.0	31.0	31.0	32.0	31.0	31.0	32.0	31.0	31.0	32.0	32.0	31.0	32.0	31.0	31.0	31.0	31.0	30.0	31.0	31.0	31.0	31.0	31.0	30.0	30.0	30.0	31.0	31.0	31.0	32.0	32.0	29.0	31.0	30.0	30.0	30.0	30.0	30.0	31.0	31.0	32.0	32.0	33.0	34.0	31.0	31.0	31.0	32.0	33.0	32.0	31.0	33.0	30.0	33.0	32.0	32.0	33.0	33.0	33.0	34.0	34.0	31.0	32.0	33.0	33.0	33.0	32.0	33.5	33.0	34.0	34.0	34.0	26.0
75%	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	35.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	33.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	33.0	34.0	34.0	34.0	34.0	33.0	34.0	33.0	34.0	33.0	34.0	33.0	34.0	34.0	34.0	34.0	34.0	34.0	33.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	33.75	34.0	34.0	34.0	34.0	34.0	31.0
91%	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	34.0	35.0	35.0	34.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	34.0	35.0	35.0	35.0	35.0	34.0	34.0	34.0	35.0	34.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	34.0	35.0	35.0	34.0	35.0	35.0	34.0	35.0	35.0	34.0	34.090000000000146	35.0	34.0	35.0	35.0	35.0	35.0	35.0	34.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	34.0	35.0	34.0	35.0	35.0	35.0	35.0	35.0	35.0	34.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	34.0	34.0	35.0	34.0	35.0	35.0	35.0	35.0	35.0	35.0	34.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	34.0	35.0	35.0	34.0	35.0	35.0	35.0	35.0	34.0	34.0	35.0	35.0	35.0	34.0	34.0	34.0	35.0	35.0	35.0	35.0	34.0	35.0	35.0	35.0	35.0	35.0	35.0	34.0	34.0	34.0	34.0	34.0	34.0	35.0	35.0	35.0	35.0	35.0	35.0	34.0	34.0	34.0	35.0	35.0	35.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	35.0	34.0	35.0	34.0	34.0	35.0	35.0	34.0	34.0	35.0	34.0	34.0	34.0	35.0	34.0	35.0	35.0	34.0	34.0	35.0	35.0	35.0	35.0	34.0	35.0	35.0	35.0	35.0	34.0	35.0	35.0	35.0	35.0	35.0	34.0	35.0	35.0	35.0	34.0	35.0	34.0	34.0	35.0	35.0	34.0	34.0	34.0	34.0	34.0	35.0	35.0	35.0	35.0	34.0	34.0	35.0	34.0	34.0	34.0	34.0	34.0	35.0	34.0	34.0	34.0	34.0	34.0	34.0	35.0	35.0	34.0	34.710000000000036	34.0	34.0	34.0	34.0	34.0	35.0	35.0	35.0	34.0	35.0	35.0	34.0	34.0	34.0	34.0	35.0	34.0	34.0	35.0	34.0	35.0	34.0	34.0	35.0	35.0	35.0	35.0	35.0	34.0	35.0	34.0	35.0	35.0	34.0	35.0	35.0	35.0	34.0	34.37	34.2
98%	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	37.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	35.0	36.0	35.0	36.0	36.0	35.0	36.0	35.0	36.0	36.0	36.0	35.0	36.0	35.0	36.0	35.0	35.0	37.0	36.0	36.0	36.0	36.0	35.0	35.0	35.0	35.0	36.0	35.0	35.0	35.0	36.0	35.0	35.0	36.0	36.0	36.0	36.0	36.0	35.0	36.0	35.0	36.0	36.0	35.0	35.0	36.0	35.0	35.0	36.0	35.0	35.0	36.0	35.0	36.0	35.0	35.0	35.0	36.0	35.0	36.0	36.0	36.0	36.0	36.0	36.0	35.0	36.0	36.0	36.0	35.0	36.0	35.0	36.0	36.0	36.0	36.0	36.0	36.0	35.0	35.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	35.0	35.0	36.0	35.0	36.0	36.0	36.0	35.0	35.0	35.0	35.0	35.0	35.0	36.0	36.0	36.0	36.0	35.0	36.0	36.0	35.0	35.0	35.0	35.0	35.0	36.0	36.0	36.0	35.0	35.0	35.0	36.0	36.0	35.0	35.0	35.0	36.0	36.0	36.0	36.0	35.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	35.0	36.0	35.0	35.0	35.0	36.0	36.0	36.0	36.0	36.0	35.0	35.0	35.0	35.0	36.0	36.0	36.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	36.0	35.0	36.0	35.0	35.0	36.0	36.0	35.0	35.0	36.0	35.0	35.0	36.0	36.0	35.0	35.0	36.0	35.0	36.0	36.0	36.0	36.0	36.0	35.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	35.0	36.0	36.0	36.0	35.0	36.0	35.0	36.0	36.0	36.0	35.0	35.0	35.0	35.0	35.0	36.0	35.0	36.0	36.0	36.0	36.0	36.0	35.0	36.0	35.07999999999993	35.0	35.0	36.0	35.0	35.0	35.0	35.0	35.0	35.0	36.0	36.0	35.0	36.0	35.0	35.0	35.0	35.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	35.0	35.0	35.0	35.0	35.83999999999992	35.0	36.0	36.0	36.0	36.0	35.0	35.0	36.0	36.0	35.0	36.0	36.0	35.0	35.0	35.0	35.0	36.0	35.0	36.0	35.19999999999999	35.0	35.0	34.86	35.6
