OTU_160	SRR10803282.17301;size=9
OTU_161	SRR10803282.5933;size=9
OTU_162	SRR10803250.100765;size=8
OTU_163	SRR10803250.101810;size=8
OTU_164	SRR10803250.164464;size=8
OTU_165	SRR10803250.190241;size=8
OTU_166	SRR10803250.20266;size=8
OTU_167	SRR10803250.216584;size=8
OTU_168	SRR10803250.22355;size=8
OTU_169	SRR10803250.38930;size=8
OTU_170	SRR10803250.45129;size=8
OTU_171	SRR10803250.46638;size=8
OTU_172	SRR10803250.58164;size=8
OTU_173	SRR10803250.83377;size=8
OTU_174	SRR10803271.12661;size=8
OTU_175	SRR10803271.1559;size=8
OTU_176	SRR10803250.102239;size=7
OTU_177	SRR10803250.109609;size=7
OTU_178	SRR10803250.116724;size=7
OTU_179	SRR10803250.156459;size=7
OTU_180	SRR10803250.24833;size=7
OTU_181	SRR10803250.25562;size=7
OTU_182	SRR10803250.3273;size=7
OTU_183	SRR10803250.332728;size=7
OTU_184	SRR10803250.62175;size=7
OTU_185	SRR10803250.63166;size=7
OTU_186	SRR10803250.79636;size=7
OTU_187	SRR10803250.80384;size=7
OTU_188	SRR10803250.98204;size=7
OTU_189	SRR10803271.4169;size=7
OTU_190	SRR10803271.5633;size=7
OTU_191	SRR10803271.7417;size=7
OTU_192	SRR10803271.7640;size=7
OTU_193	SRR10803282.5060;size=7
OTU_194	SRR10803250.136902;size=6
OTU_195	SRR10803250.137346;size=6
OTU_196	SRR10803250.141757;size=6
OTU_197	SRR10803250.17969;size=6
OTU_198	SRR10803250.18290;size=6
OTU_199	SRR10803250.206474;size=6
OTU_200	SRR10803250.223878;size=6
OTU_201	SRR10803250.23177;size=6
OTU_202	SRR10803250.33917;size=6
OTU_203	SRR10803250.3746;size=6
OTU_204	SRR10803250.5684;size=6
OTU_205	SRR10803250.66494;size=6
OTU_206	SRR10803250.81987;size=6
OTU_207	SRR10803250.89577;size=6
OTU_208	SRR10803250.94565;size=6
OTU_209	SRR10803250.95940;size=6
OTU_210	SRR10803250.99634;size=6
OTU_211	SRR10803271.40386;size=6
OTU_212	SRR10803282.13519;size=6
OTU_213	SRR10803250.112388;size=5
OTU_214	SRR10803250.11785;size=5
OTU_215	SRR10803250.124340;size=5
OTU_216	SRR10803250.124559;size=5
OTU_217	SRR10803250.13052;size=5
OTU_218	SRR10803250.141787;size=5
OTU_219	SRR10803250.179848;size=5
OTU_220	SRR10803250.193603;size=5
OTU_221	SRR10803250.2046;size=5
OTU_222	SRR10803250.22927;size=5
OTU_223	SRR10803250.24971;size=5
OTU_224	SRR10803250.25305;size=5
OTU_225	SRR10803250.297847;size=5
OTU_226	SRR10803250.304614;size=5
OTU_227	SRR10803250.324822;size=5
OTU_228	SRR10803250.3265;size=5
OTU_229	SRR10803250.33055;size=5
OTU_230	SRR10803250.33160;size=5
OTU_231	SRR10803250.50312;size=5
OTU_232	SRR10803250.50425;size=5
OTU_233	SRR10803250.55884;size=5
OTU_234	SRR10803250.68939;size=5
OTU_235	SRR10803250.90920;size=5
OTU_236	SRR10803250.91051;size=5
OTU_237	SRR10803271.15428;size=5
OTU_238	SRR10803271.18658;size=5
OTU_239	SRR10803271.2413;size=5
OTU_240	SRR10803271.68890;size=5
OTU_241	SRR10803271.7892;size=5
OTU_242	SRR10803271.83708;size=5
OTU_243	SRR10803282.5150;size=5
OTU_244	SRR10803282.5596;size=5
OTU_245	SRR10803250.11058;size=4
OTU_246	SRR10803250.112262;size=4
OTU_247	SRR10803250.119618;size=4
OTU_248	SRR10803250.133761;size=4
OTU_249	SRR10803250.13663;size=4
OTU_250	SRR10803250.137315;size=4
OTU_251	SRR10803250.138029;size=4
OTU_252	SRR10803250.151063;size=4
OTU_253	SRR10803250.15142;size=4
OTU_254	SRR10803250.154838;size=4
OTU_255	SRR10803250.160380;size=4
OTU_256	SRR10803250.162455;size=4
OTU_257	SRR10803250.17335;size=4
OTU_258	SRR10803250.177432;size=4
OTU_259	SRR10803250.184079;size=4
OTU_260	SRR10803250.19468;size=4
OTU_261	SRR10803250.21541;size=4
OTU_262	SRR10803250.227556;size=4
OTU_263	SRR10803250.23328;size=4
OTU_264	SRR10803250.32703;size=4
OTU_265	SRR10803250.33725;size=4
OTU_266	SRR10803250.349019;size=4
OTU_267	SRR10803250.366751;size=4
OTU_268	SRR10803250.38973;size=4
OTU_269	SRR10803250.39046;size=4
OTU_270	SRR10803250.399846;size=4
OTU_271	SRR10803250.40125;size=4
OTU_272	SRR10803250.4109;size=4
OTU_273	SRR10803250.4279;size=4
OTU_274	SRR10803250.44389;size=4
OTU_275	SRR10803250.50881;size=4
OTU_276	SRR10803250.52563;size=4
OTU_277	SRR10803250.5873;size=4
OTU_278	SRR10803250.61925;size=4
OTU_279	SRR10803250.64206;size=4
OTU_280	SRR10803250.66879;size=4
OTU_281	SRR10803250.71547;size=4
OTU_282	SRR10803250.72209;size=4
OTU_283	SRR10803250.9550;size=4
OTU_284	SRR10803271.23985;size=4
OTU_285	SRR10803271.28728;size=4
OTU_286	SRR10803271.66109;size=4
OTU_287	SRR10803271.84129;size=4
OTU_288	SRR10803271.9210;size=4
OTU_289	SRR10803282.10344;size=4
OTU_290	SRR10803282.1208;size=4
OTU_291	SRR10803282.12561;size=4
OTU_292	SRR10803282.23952;size=4
OTU_293	SRR10803282.5404;size=4
OTU_294	SRR10803282.6214;size=4
OTU_295	SRR10803282.8489;size=4
OTU_296	SRR10803250.104070;size=3
OTU_297	SRR10803250.107962;size=3
OTU_298	SRR10803250.111211;size=3
OTU_299	SRR10803250.112348;size=3
OTU_300	SRR10803250.11324;size=3
OTU_301	SRR10803250.114001;size=3
OTU_302	SRR10803250.115117;size=3
OTU_303	SRR10803250.115677;size=3
OTU_304	SRR10803250.115706;size=3
OTU_305	SRR10803250.116438;size=3
OTU_306	SRR10803250.11;size=3
OTU_307	SRR10803250.121195;size=3
OTU_308	SRR10803250.126239;size=3
OTU_309	SRR10803250.126999;size=3
OTU_310	SRR10803250.135611;size=3
OTU_311	SRR10803250.136336;size=3
OTU_312	SRR10803250.136407;size=3
OTU_313	SRR10803250.142805;size=3
OTU_314	SRR10803250.145563;size=3
OTU_315	SRR10803250.14857;size=3
OTU_316	SRR10803250.14995;size=3
OTU_317	SRR10803250.151911;size=3
OTU_318	SRR10803250.154097;size=3
OTU_319	SRR10803250.156326;size=3
OTU_320	SRR10803250.159287;size=3
OTU_321	SRR10803250.1623;size=3
OTU_322	SRR10803250.1721;size=3
OTU_323	SRR10803250.177951;size=3
OTU_324	SRR10803250.181408;size=3
OTU_325	SRR10803250.183927;size=3
OTU_326	SRR10803250.19022;size=3
OTU_327	SRR10803250.190273;size=3
OTU_328	SRR10803250.198593;size=3
OTU_329	SRR10803250.19956;size=3
OTU_330	SRR10803250.205347;size=3
OTU_331	SRR10803250.212957;size=3
OTU_332	SRR10803250.2139;size=3
OTU_333	SRR10803250.21700;size=3
OTU_334	SRR10803250.218386;size=3
OTU_335	SRR10803250.230626;size=3
OTU_336	SRR10803250.233764;size=3
OTU_337	SRR10803250.239319;size=3
OTU_338	SRR10803250.244751;size=3
OTU_339	SRR10803250.245208;size=3
OTU_340	SRR10803250.247509;size=3
OTU_341	SRR10803250.252480;size=3
OTU_342	SRR10803250.255362;size=3
OTU_343	SRR10803250.258774;size=3
OTU_344	SRR10803250.266657;size=3
OTU_345	SRR10803250.299967;size=3
OTU_346	SRR10803250.303081;size=3
OTU_347	SRR10803250.314948;size=3
OTU_348	SRR10803250.32194;size=3
OTU_349	SRR10803250.325668;size=3
OTU_350	SRR10803250.342763;size=3
OTU_351	SRR10803250.353135;size=3
OTU_352	SRR10803250.38368;size=3
OTU_353	SRR10803250.41344;size=3
OTU_354	SRR10803250.44161;size=3
OTU_355	SRR10803250.48121;size=3
OTU_356	SRR10803250.49850;size=3
OTU_357	SRR10803250.65079;size=3
OTU_358	SRR10803250.66742;size=3
OTU_359	SRR10803250.67214;size=3
OTU_360	SRR10803250.70515;size=3
OTU_361	SRR10803250.75128;size=3
OTU_362	SRR10803250.77131;size=3
OTU_363	SRR10803250.78052;size=3
OTU_364	SRR10803250.78760;size=3
OTU_365	SRR10803250.7895;size=3
OTU_366	SRR10803250.85232;size=3
OTU_367	SRR10803250.85845;size=3
OTU_368	SRR10803250.96269;size=3
